Item,Profile
DISP KROS 3 Unlimited 3% 6000 Puffs - Watermelon Bubblegum,"Watermelon, Bubblegum, Fruit, Candy"
DISP KROS 3 Unlimited 5% 6000 Puffs - Spearmint,"Spearmint, Ice, Menthol, Mint"
DISP KROS 3 Unlimited 5% 6000 Puffs - Tropical Rainbow Twist,"Tropical, Candy, Strawberry, Lime, Grape, Lemon, Orange, Skittles, Fruit, Candy"
DISP KROS 3 Unlimited 5% 6000 Puffs - Vanilla Wafer,"Vanilla, Dessert, Cream"
DISP KROS 3 Unlimited 5% 6000 Puffs - Watermelon Bubblegum,"Watermelon, Bubblegum, Fruit, Candy"
DISP Lost Mary MO5000 5000 Puffs 4% Alphonso Mango Ice,"Apricot, Peach, Mango, Ice, Menthol, Fruit"
DISP Lost Mary MO5000 5000 Puffs 4% Banana Raspberry Ice,"Banana, Raspberry, Ice, Menthol, Fruit"
DISP Lost Mary MO5000 5000 Puffs 4% Blackberry Cherry Lemon,"Blackberry, Cherry, Lemon, Fruit"
DISP Lost Mary MO5000 5000 Puffs 4% Colombian Coffee Ice,"Coffee, Ice, Cream, Menthol"
DISP Lost Mary MO5000 5000 Puffs 4% Iced Peach Colada,"Ice, Peach, Colada, Cocont, Menthol"
DISP Lost Mary MO5000 5000 Puffs 4% Sour Gami Mint,"Mint, Ice, Menthol, Tropical, Fruit, Pineapple, Mango, Papaya, Candy"
DISP Lost Mary MO5000 5000 Puffs 4% White Strawberry Ice,"Strawberry, Ice, Menthol, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Banana Raspberry Ice,"Banana, Raspberry, Ice, Menthol, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Black Strawnana,"Banana, Strawberry, Blackberry, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Blue Razz Ice,"Blue Razz, Ice, Blue Raspberry, Fruit, Candy, Menthol"
DISP Lost Mary MO5000 5000 Puffs 5% Blue Trio,"Blueberry, Raspberry, Pomegranate, Fruit"
