Item,Profile
SUB Cloud Nurdz Grape Apple,"Grape, Apple, Green Apple, Candy, Fruit"
SUB Cloud Nurdz Grape Strawberry,"Grape, Strawberry, Candy, Fruit"
SUB Cloud Nurdz Peach Blue Razz,"Peach, Blue Razz, Blue Raspberry, Fruit, Candy"
SUB Cloud Nurdz Watermelon Apple,"Watermelon, Apple, Green Apple, Fruit, Candy"
SUB Cloud Nurdz Watermelon Berry,"Watermelon, Berry, Strawberry, Fruit, Candy"
SUB Country Clouds Blueberry Corn Bread Puddin',"Cornbread, Brown Sugar, Maple, Vanilla, Pudding, Dessert, Blueberry"
SUB Country Clouds Corn Bread Puddin',"Cornbread, Brown Sugar, Maple, Vanilla, Pudding, Dessert"
SUB Country Clouds Strawberry Corn Bread Puddin',"Cornbread, Brown Sugar, Maple, Vanilla, Pudding, Dessert, Strawberry"
SUB Country Clouds Strawberry Milkshake,"Vanilla, Cream, Milk, Strawberry, Dessert"
SUB Cuttwood Bird Brains,"Fruit Loops, Cereal, Milk, Dessert"
SUB Cuttwood Boss Reserve,"Graham, Milk, Banana, Dessert"
SUB Cuttwood Mega Melons,"Melons, Cantaloupe, Papaya, Pineapple, Fruit"
SUB Cuttwood Sugar Drizzle,"Cinnamon, Sugar, Cinnamon Sugar, Cereal, Milk, Dessert"
SUB Cuttwood Tobacco Trail,"Tobacco, Honey"
SUB Cuttwood Unicorn Milk,"Milk, Strawberry, Dessert"
SUB Dinner Lady Bubble Gum,"Bubblegum, Candy"
SUB Dinner Lady Lemon Tart,"Lemon, Pastrey, Dessert, Custard"
SUB Free Noms Caramel Butterscotch Classic,"Caramel, Butterscotch, Vanilla, Cream, Dessert"
SUB Fruitia Apple Kiwi,"Apple, Kiwi, Fuit"
SUB Fruitia Apple Kiwi Ice,"Apple, Kiwi, Ice, Fruit, Menthol"
SUB Fruitia Banana Ice,"Banana, Fruit, Ice, Menthol"
SUB Fruitia Blood Orange Cactus,"Blood Orange, Orange, Cactus, Fruit, Tangerine"
SUB Fruitia Extra Ice Apple Kiwi,"Apple, Kiwi, Fruit, Ice, Menthol"
SUB Fruitia Jus Apple Bourbon Tobacco,"Apple, Bourbon, Tobacco"
SUB Fruitia Jus Blue Raspberry Cotton Candy,"Blue Razz, Blue Raspberry, Cotton Candy, Candy, Fruit"
SUB Fruitia Jus Rainbow Ice,"Fruit, Strawberry, Lime, Grape, Lemon, Orange, Skittles, Candy, Ice, Menthol"
SUB Fruitia Jus White Grape Ice,"White Grape, Grape, Fruit, Ice, Menthol"
SUB Fruitia Passion Fruit Guava,"Passionfruit, Guava, Papaya, Fruit, Tropical"
SUB Fruitia Pineapple Citrus,"Pineapple, Citrus, Mango, Fruit"
SUB Fruitia Strawberry Coconut,"Strawberry, Coconut, Fruit"
SUB Fruitia Sweet Peach,"Peach, Sweet, Strawberry, Fruit"
SUB Glas Basix Banana Cream Pie,"Banana, Cream, Vanilla, Pie Crust, Graham, Dessert"
SUB Glas Basix Blue Razz,"Blue Raspberry, Fruit, Blue Razz, Candy, Blueberry, Raspberry"
SUB Glas Basix Blueberry Cake,"Blueberry, Cake, Sweet, Dessert, Vanilla, Frosting"
SUB Glas Basix Brown Tobacco,Tobacco
SUB Glas Basix Butterscotch Reserve,"Butterscotch, Sweet, Caramel, Tobacco, Dessert"
SUB Glas Basix Caribbean Punch,"Pineapple, Apple, Peach, Strawberry, Fruit, Apricot"
SUB Glas Basix Cool Melon,"Melon, Cantaloupe, Cucumber, Ice, Menthol"
SUB Glas Basix Crystal Clear,"Unflavored, Flavorless, Cool"
SUB Glas Basix Fizzy Lemonade,"Lemonade, Lemon, Lime, Pineapple, Ice, Menthol"
SUB Glas Basix Juicy OFT Sweet & Refreshing,"Taffy, Watermelon, Strawberry, Fruit, Candy"
SUB Glas Basix Pound Cake,"Vanilla, Cake, Lemon, Dessert"
SUB Glas Basix Strawberry Blast,"Strawberry, Gummy, Candy, Berry, Fruit"
SUB Glas Basix Strawberry Milk,"Strawberry, Vanilla, Cream, Milk, Dessert"
SUB Glas Basix Sugar Cookie,"Cookie, Caramel, Cinnamon, Dessert"
SUB Gost Vapor The Pancake House Banana Nuts,"Banana, Walnut, Pancake, Maple, Dessert"
SUB Gost Vapor The Pancake House Blueberry,"Blueberry, Pancake, Maple, Dessert"
SUB Gost Vapor The Pancake House Caramelized Apple,"Pancake, Caramel, Apple, Green Apple, Maple, Dessert"
SUB Gost Vapor The Pancake House Golden Maple,"Pancake, Maple, Butter, Dessert"
SUB Gost Vapor The Pancake House Strawberry,"Strawberry, Pancake, Maple, Dessert"
SUB Halo Fusion,"Unflavored, Flavorless"
SUB Halo Sub Zero,"Menthol, Ice"
SUB Halo Tribeca,"Tobacco, Vanilla, Caramel"
SUB Halo Turkish Tobacco,Tobacco
SUB Innevape Carousel,"Mystery, Cotton Candy, Candy, Fruit"
SUB Innevape Chill Out,"Green Apple, Apple, Menthol, Ice"
SUB Innevape Chill Out 12mgCO12,"Green Apple, Apple, Menthol, Ice"
SUB Innevape Heisenberg,"Blue Raspberry, Fruit, Blue Razz, Candy"
SUB Innevape Heisenberg Menthol,"Blue Raspberry, Fruit, Blue Razz, Candy, Ice, Menthol"
SUB Innevape Vape My Day,"Caramel, Hazelnut, Butterscotch, Waffle, Dessert"
SUB Juice Head F Blue Lemon FREEZE,"Blueberry, Lemon, Ice, Menthol, Fruit"
SUB Juice Head F Guava Peach FREEZE,"Guava, Peach, Ice, Menthol, Fruit"
SUB Juice Head F Mango Strawberry FREEZE,"Mango, Strawberry, Ice, Menthol, Fruit"
SUB Juice Head F Orange Mango FREEZE,"Orange, Mango, Ice, Menthol, Fruit"
SUB Juice Head F Peach Pear FREEZE,"Peach, Pear, Ice, Menthol, Fruit"
SUB Juice Head F Peach Pear FREEZE 06mgPPF6,"Peach, Pear, Ice, Menthol, Fruit"
SUB Juice Head F Pineapple GrapeFruit FREEZE,"Pineapple, Grapefruit, Ice, Menthol, Fruit"
SUB Juice Head F Pineapple Guava FREEZE,"Pineapple, Guava, Ice, Menthol, Fruit"
SUB Juice Head F Strawberry Kiwi FREEZE,"Strawberry, Kiwi, Ice, Menthol, Fruit"
SUB Juice Head F Watermelon Lime FREEZE,"Watermelon, Lime, Ice, Menthol, Fruit"
SUB Juice Head Freeze Raspberry Lemonade,"Raspberry, Lemonade, Lemon, Ice, Menthol, Fruit"
SUB Juice Head R Blue Lemon,"Blueberry, Lemon, Fruit"
SUB Juice Head R Guava Peach,"Guava, Peach, Fruit"
SUB Juice Head R Mango Strawberry,"Mango, Strawberry, Fruit"
SUB Juice Head R Orange Mango,"Orange, Mango, Fruit"
SUB Juice Head R Peach Pear,"Peach, Pear, Fruit"
SUB Juice Head R Pineapple GrapeFruit,"Pineapple, Grapefruit, Fruit"
SUB Juice Head R Pineapple Guava,"Pineapple, Guava, Fruit"
SUB Juice Head R Strawberry Kiwi,"Strawberry, Kiwi, Fruit"
SUB Juice Head R Watermelon Lime,"Watermelon, Lime, Fruit"
SUB Juice Head Raspberry Lemonade,"Raspberry, Lemonade, Lemon, Fruit"
SUB Juice Man Cherry Blue Fizz,"Cherry, Blue Raspberry, Blue Razz, Cola"
SUB Juice Man Cherry Lime Fizz,"Cherry, Lime, Cola"
SUB Kaleidoscopic Clouds Looking Glass Iced,"Strawberry, Kiwi, Watermelon, Candy, Fruit, Ice, Menthol"
SUB Kaleidoscopic Looking Glass,"Strawberry, Kiwi, Watermelon, Candy, Fruit"
SUB Kaleidoscopic Optical Illusion,"Mango, Melon, Fruit, Candy"
SUB Kaleidoscopic Ruby's Eyes,"Raspberry, Pomagranate, Candy, Fruit"
SUB Kaleidoscopic Sunrise / Sunset,"Peach, Melon, Fruit"
SUB Kaleidoscopic Sunset / Sunrise,"Raspberry, Orange, Fruit"
SUB Keep It 100 Berry Au Lait,"Strawberry, Cream, Milk, Dessert"
SUB Keep It 100 Maui Blast,"Guava, Passionfruit, Lychee, Fruit, Tropical"
SUB Keep It 100 OG Blue,"Blue Raspberry, Fruit, Blue Razz, Candy, Strawberry"
SUB Keep It 100 OG Blue Ice,"Blue Raspberry, Fruit, Blue Razz, Candy, Strawberry, Ice, Menthol"
SUB Keep It 100 OG Nana Foster,"Banana, Cinnamon, Sugar, Cinnamon Sugar, Vanilla, Dessert"
SUB Keep It 100 OG Pink,"Strawberry, Fruit, Candy"
SUB Keep It 100 OG Summer Blue,"Blue Raspberry, Fruit, Blue Razz, Candy, Raspberry, Strawberry, Lemon, Lemonade"
SUB Keep It 100 OG Tropical Blue,"Blue Raspberry, Fruit, Blue Razz, Candy, Strawberry, Guava, Pineapple, Peach"
SUB Khali Devil's Punchbowl,"Guava, Peach, Fruit, Fruit Punch, Hawaiian Punch"
SUB Khali Devil's Punchbowl ICE,"Guava, Peach, Fruit, Fruit Punch, Hawaiian Punch, Ice, Menthol"
SUB Lost Art Grape White,"Grape, White Grape, Fruit"
SUB MET4 Fair Grounds,"Deep Fried Twinkie, Twinkie, Cream Cake, Dessert, Vanilla"
SUB MET4 Golden Ticket,"Chocolate, Milk, Chocolate Milk, Dessert"
SUB Mighty Vapors Frozen Hulk Tears,"Green Apple, Apple, Watermelon, Strawberry, Candy, Fruit, Ice, Menthol"
SUB Mighty Vapors Frozen Hulk Tears Frozen Green Apple Straw-Melon Chew,"Green Apple, Apple, Watermelon, Strawberry, Candy, Fruit, Ice, Menthol"
SUB Mighty Vapors Hulk Tears,"Green Apple, Apple, Watermelon, Strawberry, Candy, Fruit"
SUB Mighty Vapors Super Mint,"Mint, Spearmint, Menthol, Ice"
SUB ML Custard Monster Banana,"Banana, Custard, Cream, Dessert, Sweet"
SUB ML Custard Monster Blackberry,"Sweet, Blackberry, Custard, Cream, Dessert"
SUB ML Custard Monster Blueberry,"Blueberry, Sweet, Custard, Cream, Dessert"
SUB ML Custard Monster Butterscotch,"Butterscotch, Custard, Sweet, Cream, Dessert"
SUB ML Custard Monster Gingerbread,"Gingerbread, Custard, Sweet, Cream, Dessert"
SUB ML Custard Monster Mixed Berry,"Sweet, Mixed Berry, Strawberry, Blackberry, Blueberry, Cream, Dessert, Custard, Raspberry"
SUB ML Custard Monster Strawberry,"Strawberry, Sweet, Custard, Cream, Dessert"
SUB ML Custard Monster Vanilla,"Vanilla, Sweet, Custard, Cream, Dessert"
SUB ML Frozen Fruit Monster Banana Ice,"Banana, Ice, Menthol, Fruit"
SUB ML Frozen Fruit Monster Black Cherry Ice,"Cherry, Ice, Menthol, Fruit"
SUB ML Frozen Fruit Monster Blueberry Raspberry Lemon Ice,"Blueberry, Raspberry, Lemon, Ice, Menthol, Fruit"
SUB ML Frozen Fruit Monster Double Mango Ice,"Mango, Ice, Menthol, Fruit"
SUB ML Frozen Fruit Monster Mango Peach Guava Ice,"Mango, Peach, Guava, Ice, Menthol, Fruit"
SUB ML Frozen Fruit Monster Mixed Berry Ice,"Berry, Fruit, Mixed Berry, Strawberry, Blackberry, Blueberry, Raspberry, Ice, Menthol"
SUB ML Frozen Fruit Monster Passionfruit Orange Guava Ice,"Passionfruit, Orange, Guava, Ice, Menthol, Fruit"
SUB ML Frozen Fruit Monster Strawberry Banana Ice,"Strawberry, Banana, Ice, Menthol, Fruit"
SUB ML Frozen Fruit Monster Strawberry Kiwi Pomegranate Ice,"Strawberry, Kiwi, Pomegranate, Ice, Menthol, Fruit"
SUB ML Frozen Fruit Monster Strawberry Lime Ice,"Strawberry, Lime, Ice, Menthol, Fruit"
SUB ML Fruit Monster Black Cherry,"Cherry, Fruit"
SUB ML Fruit Monster Blueberry Raspberry Lemon,"Blueberry, Raspberry, Lemon, Fruit"
SUB ML Fruit Monster Mango Peach Guava,"Mango, Peach, Guava, Fruit"
SUB ML Fruit Monster Mixed Berry,"Raspberry, Blueberry, Strawberry, Blackberry, Fruit"
SUB ML Fruit Monster Passionfruit Orange Guava,"Passionfruit, Orange, Guava, Fruit"
SUB ML Fruit Monster Strawberry Banana,"Strawberry, Banana, Fruit"
SUB ML Fruit Monster Strawberry Kiwi Pomegranate,"Strawberry, Kiwi, Pomegranate, Fruit"
SUB ML Fruit Monster Strawberry Lime,"Strawberry, Lime, Fruit"
SUB ML Jam Monster Banana,"Banana, Jam, Butter, Toast, Dessert"
SUB ML Jam Monster Black Cherry,"Cherry, Jam, Butter, Toast, Dessert"
SUB ML Jam Monster Blackberry,"Blackberry, Jam, Butter, Toast, Dessert"
SUB ML Jam Monster Blueberry,"Blueberry, Jam, Butter, Toast, Dessert"
SUB ML Jam Monster Grape,"Grape, Jam, Butter, Toast, Dessert"
SUB ML Jam Monster Mixed Berry,"Strawberry, Blackberry, Blueberry, Raspberry, Mixed Berry, Jam, Butter, Toast, Dessert"
SUB ML Jam Monster PB & Banana,"Peanut, Banana, Peanut Butter, Jam, Dessert"
SUB ML Jam Monster PB & Grape,"Peanut, Grape, Peanut Butter, Jam, Dessert"
SUB ML Jam Monster PB & Strawberry,"Peanut, Strawberry, Jam, Peanut Butter, Dessert"
SUB ML Jam Monster Peach,"Peach, Jam, Butter, Toast, Dessert"
SUB ML Jam Monster Raspberry,"Raspberry, Jam, Butter, Toast, Dessert"
SUB ML Jam Monster Strawberry,"Strawberry, Jam, Butter, Toast, Dessert"
SUB ML Lemonade Monster Blueberry Lemonade,"Lemonade, Blueberry, Lemon, Fruit"
SUB ML Lemonade Monster Mango Lemonade,"Mango, Lemon, Lemonade, Fruit"
SUB ML Lemonade Monster Mint Lemonade,"Mint, Lemon, Lemonade, Spearmint, Ice"
SUB ML Lemonade Monster Pink Lemonade,"Lemonade, Lemon, Citrus, Fruit"
SUB ML Lemonade Monster Strawberry Lemonade,"Lemonade, Strawberry, Lemon, Fruit"
SUB ML Lemonade Monster Watermelon Lemonade,"Watermelon, Lemon, Lemonade, Fruit"
SUB ML The Milk Berry Crunch,"Milk, Berry, Strawberry, Blueberry, Raspberry, Cream, Dessert, Cereal"
SUB ML The Milk Cinnamon,"Milk, Cinnamon, Cream, Dessert, Cereal"
SUB ML The Milk Fruity,"Fruity Pebbles, Cereal, Milk, Cream, Dessert"
SUB ML The Milk Jax,"Milk, Apple, Cinnamon, Cream, Dessert, Cereal"
SUB ML Tobacco Monster Bold,"Tobacco, Hazelnut, Vanilla"
SUB ML Tobacco Monster Smooth,"Tobacco, Sweet, Cream"
SUB Mod Milk Strawberry Milky Goodness,"Strawberry, Cream, Milk, Dessert"
SUB Monster Labs Custard Monster Banana,"Banana, Custard, Cream, Dessert"
SUB MRKT PLCE Blood Orange Tangoberry,"Blood Orange, Tangerine, Orange, Grapefruit, Blueberry, Fruit"
SUB MRKT PLCE Fuji Pear Mangoberry,"Pear, Mango, Apple, Raspberry, Fruit"
SUB Naked 100 American Patriot,Tobacco
SUB Naked 100 Berry Menthol,"Berry, Blueberry, Blackberry, Raspberry, Menthol, Ice, Fruit"
SUB Naked 100 Crisp Menthol,"Mint, Ice, Menthol"
SUB Naked 100 Hawaiian Pog,"Passionfruit, Orange, Guava, Fruit, Tropical"
SUB Naked 100 Lava Flow,"Strawberry, Coconut, Pineapple, Pina Colada, Fruit"
SUB Naked 100 Lava Flow Ice,"Strawberry, Coconut, Pineapple, Pina Colada, Fruit, Ice, Menthol"
SUB Naked 100 Melon Menthol,"Melon, Menthol, Pineapple, Honeydew, Cantaloupe, Ice, Fruit"
SUB Naked 100 Really Berry,"Blueberry, Blackberry, Lemon, Fruit"
SUB Naked 100 Strawberry Pom Menthol,"Strawberry, Kiwi, Pomegranate, Ice, Menthol, Fruit"
SUB Nomenon Arctic Wintergreen Freeze,"Wintergreen, Ice, Menthol"
SUB Nomenon Caramel Butterscotch Classic,"Caramel, Butterscotch, Vanilla, Cream, Dessert"
SUB Nomenon Dragon Fruit Strawberry Cream,"Dragon Fruit, Strawberry, Cream, Dessert"
SUB Nomenon Free Noms Blueberry Strawberry Kiwi Yogurt,"Blueberry, Strawberry, Kiwi, Yogurt, Cream, Fruit, Dessert"
SUB Nomenon Free Noms Green Apple Strawberry Peach Ice,"Apple, Strawberry, Peach, Ice, Menthol, Fruit"
SUB Nomenon Grapenomenon,"Grape, Fruit, Candy"
SUB Nomenon Grapenomenon ICE,"Grape, Ice, Menthol, Fruit, Candy"
SUB Nomenon Lemonomenon,"Lemon, Candy, Fruit"
SUB Nomenon Lychee Cherry Blossom Raspberry,"Lychee, Cherry Blossom, Raspberry, Fruit"
SUB Nomenon Pear Green Apple Peach,"Pear, Apple, Green Apple, Peach, Fruit"
SUB Nomenon Phenomenon,"Mystery, Fruit, Tropical"
SUB Nomenon Pineapple Coconut Spiced Rum,"Pineapple, Coconut, Rum, Pina Colada, Fruit"
SUB Nomenon Tobacco Caramel Vanilla,"Tobacco, Caramel, Vanilla"
SUB Nomenon Watanomenon,"Watermelon, Candy, Fruit"
SUB Nomenon Watanomenon ICE,"Watermelon, Candy, Fruit, Ice, Menthol, Lush Ice"
SUB Noms 100 Nom Pop,"Cherry, Blue Raspberry, Blue Razz, Lime, Fruit, Candy"
SUB Noms 100 Tropical Gummy,"Mango, Peach, Pineapple, Gummy, Fruit, Candy"
SUB Noms Blunomenom,"Blue Raspberry, Blue Razz, Fruit, Candy"
SUB Noms Blunomenom Ice,"Blue Raspberry, Blue Razz, Fruit, Candy, Ice, Menthol"
SUB Noms X2 Blueberry Papaya Strawberry,"Blueberry, Papaya, Strawberry, Fruit"
SUB Noms X2 Cactus Jackfruit Mandarin,"Cactus, Jackfruit, Mandarin, Fruit"
SUB Noms X2 Cherry Lime Ginger,"Cherry, Lime, Ginger, Fruit"
SUB Noms X2 Kiwi Passionfruit Nectarine,"Kiwi, Passionfruit, Nectarine, Fruit"
SUB Noms X2 White Peach Raspberry,"Peach, Raspberry, Fruit"
SUB Pachamama Blood Orange Banana Gooseberry,"Orange, Banana, Gooseberry, Fruit"
SUB Pachamama Fuji Apple Strawberry,"Apple, Strawberry, Nectarine, Fruit"
SUB Pachamama Fuji Apple Strawberry SYN,"Apple, Strawberry, Nectarine, Fruit"
SUB Pachamama Mint Leaf SYN,"Mint, Spearmint, Honeydew, Berry, Strawberry, Blueberry, Kiwi, Fruit, Ice"
SUB Pachamama Passion Fruit Raspberry Yuzu,"Passion Fruit, Raspberry, Yuzu, Citrus, Fruit"
SUB Pachamama Peach Papaya Coconut,"Peach, Papaya, Coconut, Cream, Fruit"
SUB Pachamama The Mint Leaf,"Mint, Spearmint, Honeydew, Berry, Strawberry, Blueberry, Kiwi, Fruit, Ice"
SUB Pinup Vapors Beach Betty,"Tropical Fruits, Berries, Mixed Fruit, Fruit, Mystery, Pina Colada, Pineapple, Coconut"
SUB Pinup Vapors Betty,"Tropical Fruits, Berries, Mixed Fruit, Mystery, Fruit"
SUB Pinup Vapors Betty Chill,"Tropical Fruits, Berries, Mixed Fruit, Mystery, Fruit, Ice, Menthol"
SUB Pinup Vapors Christie,"Pineapple, Coconut, Pina Colada, Fruit"
SUB Pinup Vapors Marilyn,"Vanilla, Caramel, Cream, Butterscotch, Dessert"
SUB Pinup Vapors Rita,"Orange, Pineapple, Cherry, Strawberry, Grape, Fruit, Candy, Smarties"
SUB Pod Juice Blue Razz Jam,"Blue Raspberry, Jam, Blue Razz, Fruit, Candy"
SUB Pod Juice Cotton Carnival,"Blue Razz, Blue Raspberry, Strawberry, Vanilla, Cotton Candy, Candy, Fruit"
SUB Pod Juice Jewel Mint,"Mint, Ice, Menthol, Spearmint"
SUB Pod Juice Jewel Mint Sapphire,"Mint, Ice, Menthol, Wintergreen"
SUB Pop Clouds Blue Razz Candy,"Blue Razz, Blue Raspberry, Candy, Fruit"
SUB Pop Clouds Cotton Candy,"Blue Razz, Blue Raspberry, Strawberry, Vanilla, Cotton Candy, Candy"
SUB Pop Clouds Grape Vape,"Grape, Fruit, Candy"
SUB Pop Clouds Watermelon,"Watermelon, Fruit, Candy"
SUB Propaganda Illuminati,"Blood Orange, Strawberry, Pineapple, Fruit"
SUB Propaganda Sour Apple,"Apple, Green Apple, Fruit"
SUB Propaganda The Hype America,"Cherry, Lime, Blue Raspberry, Blue Razz, Fruit, Candy"
SUB Propaganda The Hype Blue Frost,"Blue Raspberry, Blue Razz, Fruit, Candy"
SUB Propaganda The Hype Cool Blue Frost,"Blue Raspberry, Blue Razz, Fruit, Candy, Ice, Menthol"
SUB Propaganda The Hype Juicy Grape,"Grape, Fruit, Candy"
SUB Propaganda The Hype Pink and Blue,"Strawberry, Blue Raspberry, Blue Razz, Cotton Candy, Candy, Fruit"
SUB Propaganda The Hype Sour Apple,"Apple, Green Apple, Fruit"
SUB Propaganda The Hype Strawberries A La Mode,"Strawberry, Vanilla, Cream, Cake, Dessert"
SUB Sadboy Blueberry Cookie,"Blueberry, Cookie, Dessert"
SUB Sadboy Blueberry Jam,"Blueberry, Cookie, Dessert, Jam"
SUB Sadboy Butter Cookie,"Butter, Cookie, Lemon, Dessert"
SUB Sadboy Coconut Cake,"Coconut, Cake, Vanilla, Cream, Dessert"
SUB Sadboy Cookie Custard,"Custard, Vanilla, Cookie, Dessert"
SUB Sadboy Happy End Blue Cotton Candy,"Blue Raspberry, Blue Razz, Cotton Candy, Candy, Fruit"
SUB Sadboy Happy End Pink Cotton Candy,"Strawberry, Cotton Candy, Candy, Fruit"
SUB Sadboy Keylime Cookie,"Lime, Cookie, Key Lime, Dessert"
SUB Sadboy Lemon Cookie,"Cookie, Lemon, Dessert, Jam"
SUB Sadboy Mango Blood,"Mango, Fruit, Candy"
SUB Sadboy Mango Blood Ice,"Mango, Fruit, Candy, Ice, Menthol"
SUB Sadboy Nola Bar Blueberry,"Cream, Blueberry, Granola, Dessert"
SUB Sadboy Nola Bar Strawberry,"Cream, Strawberry, Granola, Dessert"
SUB Sadboy Pumpkin Cookie,"Pumpkin, Cinnamon, Cookie, Dessert, Nutmeg"
SUB Sadboy Punch Berry Blood,"Strawberry, Blackberry, Blueberry, Lemon, Raspberry, Lemonade, Candy, Fruit"
SUB Sadboy Punch Berry Blood Ice,"Strawberry, Blackberry, Blueberry, Lemon, Raspberry, Lemonade, Candy, Fruit, Ice, Menthol"
SUB Sadboy Rainbow Blood,"Strawberry, Blackberry, Blueberry, Raspberry, Lemonade, Fruit"
SUB Sadboy Rainbow Blood Ice,"Strawberry, Blackberry, Blueberry, Raspberry, Lemonade, Fruit, Ice, Menthol"
SUB Sadboy Shamrock Cookie,"Mint, Cookie, Dessert"
SUB Sadboy Strawberry Blood,"Strawberry, Candy, Fruit"
SUB Sadboy Strawberry Blood Ice,"Strawberry, Candy, Fruit, Ice, Menthol"
SUB Sadboy Strawberry Cheesecake,"Strawberry, Cheesecake, Cream, Graham, Dessert"
SUB Sadboy Strawberry Jam,"Strawberry, Cookie, Jam, Dessert"
SUB Sadboy Unicorn Tears,"Citrus, Cookie, Dessert"
SUB Shijin Tortoise Blood,"Blue Raspberry, Blue Razz, Apple, Green Apple, Fruit, Candy, Sherbert"
SUB Shijin Tortoise Blood on ICE,"Blue Raspberry, Blue Razz, Apple, Green Apple, Fruit, Candy, Sherbert, Ice, Menthol"
SUB Shijin Tortoise Blood on the Rocks,"Blue Raspberry, Blue Razz, Apple, Green Apple, Fruit, Candy, Sherbert, Ice, Mint, Spearmint"
SUB Skwezed Green Apple,"Apple, Green Apple, Fruit"
SUB Skwezed Green Apple Ice,"Apple, Green Apple, Fruit, Ice, Menthol"
SUB Skwezed Watermelon,"Watermelon, Fruit"
SUB Skwezed Watermelon Ice,"Watermelon, Fruit, Ice, Menthol, Lush Ice"
SUB Skwezed Watermelon White Grape,"Watermelon, White Grape, Grape, Fruit"
SUB Skwezed Watermelon White Grape Ice,"Watermelon, White Grape, Grape, Fruit, Ice, Menthol"
SUB Smoke Crossroads Carolina Cure,"Tobacco, Coffee, Cappuccino"
SUB Smoke Crossroads Carolina Red,Tobacco
SUB Steam Co. Double Leaf,"Tobacco, Menthol, Ice"
SUB Steam Co. Fresh Pack,Tobacco
SUB Steam Co. Gentleman's Reserve,"Vanilla, Almond, Coconut, Bourbon, Dessert"
SUB Suicide Bunny Mother's Milk,"Strawberry, Cream, Custard, Milk, Dessert"
SUB Suicide Bunny Sucker Punch,"Cream, Dragonfruit, Vanilla, Dessert"
SUB Taylor Pinky Palmer,"Strawberry, Lemon, Lemonade, Iced Tea, Tea, Fruit"
SUB Taylor Snickerdoodle Crunch,"Vanilla, Cream, Cinnamon, Sugar, Cookie, Dessert"
SUB The Finest Cool Mint,"Mint, Spearmint, Cool, Ice, Menthol"
SUB The Finest Lychee Dragon,"Lychee, Dragonfruit, Strawberry"
SUB The Finest Tiramisu Custard,"Coffee, Cream, Tiramisu, Vanilla, Custard, Graham, Dessert"
SUB Tobacco Monster,Tobacco
SUB Twist Banana Amber,"Oatmeal, Cookie, Banana, Dessert"
SUB Twist Berry Amber,"Strawberry, Graham, Cinnamon, Honey, Dessert"
SUB Twist Blend No. 1,"Orange, Strawberry, Blueberry, Pineapple, Fruit"
SUB Twist Frosted Amber,"Cookie, Vanilla, Sugar, Frosting, Cream, Dessert"
SUB Twist Green No. 1,"Honeydew, Cantaloupe, Candy, Melon, Fruit"
SUB Twist Pink 0,"Lemon, Lemonade, Strawberry, Ice, Menthol, Fruit"
SUB Twist Pink No. 1,"Lemon, Lemonade, Strawberry, Fruit"
SUB Twist Purple Grape,"Grape, Berry, Strawberry, Blueberry, Raspberry, Fruit"
SUB Twist Purple No. 1,"Berry, Blueberry, Strawberry, Raspberry, Lemonade, Lemon, Fruit"
SUB Twist Red No. 1,"Watermelon, Lemon, Lemonade, Fruit"
SUB Twist Tobacco Gold No. 1,Tobacco
SUB Twist White No. 1,"Pineapple, Gummy, Fruit, Candy"
SUB Vapetasia Killer Kustard,"Custard, Vanilla, Cream, Dessert"
SUB Vapetasia Killer Kustard Strawberry,"Custard, Vanilla, Cream, Dessert, Strawberry"
SUB Vapetasia Milk of the Poppy,"Milk, Cream, Strawberry, Dragonfruit, Dessert"
SUB Vapetasia Royalty 2,"Tobacco, Hazelnut, Vanilla, Cream, Custard, Dessert"
SUB Verdict Vapors Convict - Strawberry Milk,"Strawberry, Milk, Cream, Marshmallow, Dessert"
SUB Verdict Vapors Mints Chocomint,"Mint, Chocolate, Spearmint, Ice, Menthol, Candy"
SUB Verdict Vapors Mints Peppermint,"Mint, Peppermint, Menthol, Ice"
SUB Verdict Vapors Mints Spearmint,"Mint, Spearmint, Menthol, Ice"
SUB Verdict Vapors Mints Wintergreen,"Mint, Wintergreen, Menthol, Ice"
SUB Verdict Vapors Warden - Hazelnut Pecan Butter,"Hazelnut, Pecan, Butter, Cream, Vanilla, Dessert"
SUB VGod Apple Bomb,"Apple, Green Apple, Fruit, Candy"
SUB VGod Apple Bomb Iced,"Apple, Green Apple, Fruit, Candy, Ice, Menthol"
SUB VGod Berry Bomb,"Strawberry, Fruit, Candy"
SUB VGod Berry Bomb Iced,"Strawberry, Fruit, Candy, Menthol, Ice"
SUB Vgod Cubano,"Tobacco, Cigar, Vanilla"
SUB Vgod Cubano Black,"Tobacco, Custard, Vanilla"
SUB Vgod Cubano Silver,"Tobacco, Honey, Vanilla, Custard"
SUB VGod Lucious,"Watermelon, Fruit, Candy"
SUB VGod Lush Ice,"Watermelon, Fruit, Ice, Menthol, Lush Ice, Candy"
SUB VGod Mango Bomb,"Mango, Fruit"
SUB VGod Mango Bomb Iced,"Mango, Fruit, Ice, Menthol"
SUB VGod Purple Bomb,"Grape, Fruit, Candy"
SUB VGod Purple Bomb Iced,"Grape, Fruit, Candy, Ice, Menthol"
SUB Yogi Apple Cinnamon Granola Bar,"Apple, Cinnamon, Granola, Dessert, Honey"
SUB Yogi Blueberry Granola Bar,"Blueberry, Granola, Honey, Desserrt"
SUB Yogi Java Granola Bar,"Coffee, Chocolate, Granola, Honey, Dessert"
